date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:06	536/536	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:26fcc0f5dd216e6fd1199e80ce6707c0%22	https://lezada-fashion.myshopify.com/robots.txt		(from )
22:31:06	328442/328442	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:929e4171b32d130b5b9bbc683b898816%22	https://lezada-fashion.myshopify.com/	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/index.html	(from )
22:31:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:06%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/plugins.js?v=139296894682182894691643261364	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/plugins.06cc7.delayed	(from https://lezada-fashion.myshopify.com/)
22:31:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:07%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/theme.plugins.js?v=177399257430505027491643261372	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/theme.pluginse1f5.js	(from https://lezada-fashion.myshopify.com/)
22:31:07	85715/85715	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2018:24:01%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/plugins.js?v=139296894682182894691643261364	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/plugins6cc7.js	(from https://lezada-fashion.myshopify.com/)
22:31:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:07%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/bootstrap.min.js?v=94033863239863277801643261325	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/bootstrap.min9bea.js	(from https://lezada-fashion.myshopify.com/)
22:31:08	63444/63444	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2012:55:25%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/theme.plugins.js?v=177399257430505027491643261372	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/theme.pluginse1f5.js	(from https://lezada-fashion.myshopify.com/)
22:31:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:08%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/owl.carousel.min.js?v=39625633880638491061643261358	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/owl.carousel.min53e4.js	(from https://lezada-fashion.myshopify.com/)
22:31:09	51040/51040	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2013:04:55%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/bootstrap.min.js?v=94033863239863277801643261325	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/bootstrap.min9bea.js	(from https://lezada-fashion.myshopify.com/)
22:31:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:09%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/lazysizes.min.js?v=89644803952926230611643261352	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/lazysizes.min1bfb.js	(from https://lezada-fashion.myshopify.com/)
22:31:09	42767/42767	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2012:55:24%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/owl.carousel.min.js?v=39625633880638491061643261358	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/owl.carousel.min53e4.js	(from https://lezada-fashion.myshopify.com/)
22:31:09	15506/15506	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2012:55:24%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/lazysizes.min.js?v=89644803952926230611643261352	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/lazysizes.min1bfb.js	(from https://lezada-fashion.myshopify.com/)
22:31:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:09%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/tippy.min.js?v=157736563639682071161643261376	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/tippy.min18dc.js	(from https://lezada-fashion.myshopify.com/)
22:31:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:10%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/slick.min.js?v=129419428051093955041643261370	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/slick.mina00a.js	(from https://lezada-fashion.myshopify.com/)
22:31:10	52347/52347	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2013:04:56%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/tippy.min.js?v=157736563639682071161643261376	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/tippy.min18dc.js	(from https://lezada-fashion.myshopify.com/)
22:31:10	43718/43718	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2012:55:25%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/slick.min.js?v=129419428051093955041643261370	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/slick.mina00a.js	(from https://lezada-fashion.myshopify.com/)
22:31:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:11%20GMT	http://cdn.shopify.com/s/javascripts/currencies.js	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/cdn.shopify.com/s/javascripts/currencies.e.delayed	(from https://lezada-fashion.myshopify.com/)
22:31:11	2518/2518	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2025%20Feb%202024%2016:15:16%20GMT	https://cdn.shopify.com/s/javascripts/currencies.js	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/cdn.shopify.com/s/javascripts/currencies.js	(from https://lezada-fashion.myshopify.com/)
22:31:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Feb%202024%2019:31:12%20GMT	http://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/jquery.currencies.min.js?v=131103754243345536471643261348	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/jquery.currencies.min4fb3.js	(from https://lezada-fashion.myshopify.com/)
22:31:12	18923/18923	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2027%20Feb%202024%2012:55:26%20GMT	https://lezada-fashion.myshopify.com/cdn/shop/t/33/assets/jquery.currencies.min.js?v=131103754243345536471643261348	C:/Users/akter/source/repos/ShoppingWeb/ShoppingTemplate/lezada-fashion.myshopify.com/cdn/shop/t/33/assets/jquery.currencies.min4fb3.js	(from https://lezada-fashion.myshopify.com/)
